,年份,批次,科类,选科要求,招生人数,最低分,平均分,最高分,最低位次,院校专业与特殊信息,前一所学校最低位次
18329,2024,本科批,物理类,"物理,化学",2.0,691.0,,,62.0,清华大学工科试验班(秀钟书院)含交叉工程专业,6.0
18327,2024,本科批,物理类,"物理,化学",3.0,691.0,,,62.0,清华大学工科试验班(能源与电气类)含建筑环境与能源应用工程、电气工程及其自动化、电气工程及其自动化(能源互联网国际班)、能源与动力工程专业,0.0
18328,2024,本科批,物理类,"物理,化学",3.0,691.0,,,62.0,清华大学理科试验班(数理类)含数学与应用数学、物理学、数理基础科学、工程物理、工程物理(能源实验班)专业,0.0
18331,2024,本科批,物理类,"物理,化学",6.0,691.0,,,62.0,清华大学工科试验班(笃实书院)含交叉工程专业,0.0
19469,2024,本科批,物理类,"物理,化学",1.0,691.0,,,62.0,上海交通大学人工智能(拔尖英才试点班),0.0
18330,2024,本科批,物理类,"物理,化学",3.0,691.0,,,62.0,清华大学工科试验班(为先书院)含交叉工程专业,0.0
25828,2024,本科批,历史类,历史,5.0,657.0,,,65.0,中国人民大学金融学类含金融学、保险学、信用管理专业含金融工程专业；含“金融学-数据科学与大数据技术(工学)”双学士学位项目；含英国剑桥大学本科生访学项目、美国康奈尔大学暑期学校，美国伊利诺伊大学香槟分校、美国明尼苏达双城大学、美国威斯康星大学麦迪逊分校、新加坡管理大学双硕士学位联合培养,3.0
25827,2024,本科批,历史类,历史,6.0,657.0,,,65.0,中国人民大学经济学类含经济学、国民经济管理、能源经济、国际经济与贸易专业含数字经济专业；含“经济学-数学”“应用经济-数据科学”“应用经济-农村区域发展管理”“经济学-社会学”“经济学-历史学”双学士学位项目，经济学(中国特色经济学)拔尖班；含美国威斯康星大学麦迪逊分校等联合培养项目,0.0
25826,2024,本科批,历史类,历史,3.0,657.0,,,65.0,中国人民大学财政学类含财政学、税收学专业含英国剑桥大学本科生访学项目、美国康奈尔大学暑期学校，美国伊利诺伊大学香槟分校、美国明尼苏达双城大学、美国威斯康辛大学麦迪逊分校、英国杜伦大学、英国玛丽女王大学、德国歌德大学(法兰克福)、新加坡管理大学双硕士学位联合培养,0.0
2575,2024,本科批,历史类,历史,3.0,657.0,,,65.0,复旦大学经济学类(拔尖学生培养基地)含经济学、经济学(数理经济方向拔尖项目)、经济学(国际项目UIPE)、金融学、国际经济与贸易(国际经济学)、国际经济与贸易(大数据、国际贸易双学位项目)、财政学、保险学专业含“国际经济与贸易-数据科学与大数据技术”双学士学位,0.0
25829,2024,本科批,历史类,历史,6.0,656.0,,,76.0,中国人民大学人文科学试验班含哲学、宗教学、伦理学、汉语言文学、汉语言、历史学、世界史、考古学、中国古典学、艺术管理专业含古典学实验班；“国学-古典学”双主学位项目；含日本东京大学互访研学项目、英国牛津大学赫特福德学院学生交换项目、比利时根特大学和美国夏威夷大学“3+1+1”联合培养项目等,11.0
25830,2024,本科批,历史类,历史,8.0,656.0,,,76.0,中国人民大学社会科学试验班(管理学科类)含资源与环境经济学、农林经济管理、农村区域发展、行政管理、城市管理、土地资源管理、信息资源管理、档案学专业含大数据管理与应用专业；含“经济学-科学”实验班，“资源环境经济学-公共管理”双主学位项目；含美国华盛顿大学、英国剑桥大学、德国慕尼黑工业大学、荷兰格罗宁根大学、日本一桥大学等院际学生交换项目,0.0
669,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学文物保护技术(古建),9.0
18333,2024,本科批,物理类,"物理,化学",3.0,689.0,,,85.0,清华大学自动化类含自动化(含信息管理信息系统)专业,0.0
677,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学环境科学与工程类含环境科学、环境工程、环境科学(环境管理)专业,0.0
671,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学物理学类含物理学、大气科学(大气与海洋)专业,0.0
667,2024,本科批,物理类,"物理,化学",2.0,689.0,,,85.0,北京大学环境科学(环境、健康、生态、地理与资源环境),0.0
672,2024,本科批,物理类,"物理,化学",2.0,689.0,,,85.0,北京大学电子信息类(学费:5300元/学年)含电子信息科学与技术、微电子科学与工程专业,0.0
674,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学化学类含化学、应用化学、应用化学(材料)、化学生物学专业,0.0
666,2024,本科批,物理类,"物理,化学",2.0,689.0,,,85.0,北京大学天文学(天体物理、天文高新技术和应用),0.0
675,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学生物科学类(学费:5300元/学年)含生物科学、生物技术专业,0.0
676,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学地质学类含地质学、地球化学专业,0.0
670,2024,本科批,物理类,"物理,化学",2.0,689.0,,,85.0,北京大学工科试验班类含理论与应用力学、工程力学、能源与环境系统工程、航空航天工程、生物医学工程、材料科学与工程专业,0.0
668,2024,本科批,物理类,"物理,化学",2.0,689.0,,,85.0,北京大学信息管理与信息系统,0.0
18332,2024,本科批,物理类,"物理,化学",6.0,689.0,,,85.0,清华大学电子信息类含电子信息科学与技术专业,0.0
673,2024,本科批,物理类,"物理,化学",1.0,689.0,,,85.0,北京大学计算机类(学费:5300元/学年)含计算机科学与技术、智能科学与技术专业,0.0
25833,2024,本科批,历史类,历史,3.0,655.0,,,87.0,中国人民大学人力资源管理(经管交叉试验班)含人力资源管理、劳动关系、劳动与社会保障、劳动经济学专业；含法学与劳动治理实验班、全球劳动治理(法学-劳动关系)实验班,2.0
25831,2024,本科批,历史类,历史,1.0,655.0,,,87.0,中国人民大学应用心理学,0.0
25832,2024,本科批,历史类,历史,5.0,655.0,,,87.0,中国人民大学新闻传播学类含新闻学、广播电视学、广告学、传播学、国际新闻与传播专业含“法学-新闻学”“传播学-公共管理”“新媒体运营-数据管理”双学士学位项目；含创意传播实验班,0.0
25834,2024,本科批,历史类,历史,8.0,655.0,,,87.0,中国人民大学工商管理类含工商管理、财务管理、会计学、市场营销、贸易经济专业含管理科学(商业数据分析)、贸易经济(国际商务)、会计学(智能会计)专业；含新加坡南洋理工大学、荷兰阿姆斯特丹大学、香港城市大学等校免学费交流项目；含“工商管理-法学”“营销管理-数据科学”双学士学位项目,0.0
18336,2024,本科批,物理类,"物理,化学",1.0,688.0,,,100.0,清华大学理科试验班(化生类)含化学、生物科学、药学、高分子材料与工程、化学工程与工业生物工程专业,13.0
18335,2024,本科批,物理类,"物理,化学",8.0,688.0,,,100.0,清华大学工科试验班(智能制造与装备类)含机械工程、机械工程(实验班)、车辆工程、车辆工程(车身)专业,0.0
18334,2024,本科批,物理类,"物理,化学",7.0,688.0,,,100.0,清华大学土木类含土木、水利与海洋工程专业,0.0
25835,2024,本科批,历史类,历史,1.0,654.0,,,101.0,中国人民大学工商管理中、意、美三学位管理学本科项目，中国人民大学、意大利路易斯大学、美国乔治华盛顿大学联合培养并授三校本科学位，四学年依次在中国人民大学、路易斯大学、中国人民大学、乔治华盛顿大学学习，仅需缴纳中国人民大学四年学费；请非英语语种的考生慎重报考,1.0
2578,2024,本科批,历史类,历史,4.0,653.0,,,107.0,复旦大学社会科学试验班含政治学与行政学、国际政治、行政管理、社会学、社会工作专业,6.0
2577,2024,本科批,历史类,历史,2.0,653.0,,,107.0,复旦大学新闻学(望道新闻卓越班)含伦敦政治经济学院、巴黎政治大学、密苏里大学、早稻田大学、墨尔本大学双学位项目,0.0
2576,2024,本科批,历史类,历史,7.0,653.0,,,107.0,复旦大学人文科学试验班(拔尖学生培养基地)含中国语言文学类、历史学类、哲学类专业,0.0
25836,2024,本科批,历史类,历史,3.0,653.0,,,107.0,中国人民大学社会学类含社会学、社会工作专业含美国芝加哥大学、美国加州大学、美国密歇根大学等名校学生交换项目(专项奖学金支持)；含田野课堂项目、经济社会历史科学实验班(ESH)、“数字社会与数据治理”双主学位项目，“数字社会治理”未来领军人才专项直博生项目，“航笙优才”培养项目,0.0
19471,2024,本科批,物理类,"物理,化学",1.0,687.0,,,114.0,上海交通大学金融学(学费:6500元/学年)含“金融学-计算机科学与技术”双学士学位,7.0
707,2024,本科批,物理类,"物理,化学",1.0,687.0,-,-,114.0,北京大学医学部口腔医学(本博连读)(8年),0.0
19472,2024,本科批,物理类,"物理,化学",2.0,687.0,,,114.0,上海交通大学人工智能(卓越人才试点班),0.0
706,2024,本科批,物理类,"物理,化学",5.0,687.0,-,-,114.0,北京大学医学部临床医学(本博连读)(8年),0.0
2562,2024,本科批,物理类,"物理,化学",1.0,687.0,,,114.0,复旦大学工科试验班(相辉学堂香农计划)含微电子科学与工程、人工智能、生物医学工程、智能科学与技术专业,0.0
2561,2024,本科批,物理类,"物理,化学",2.0,687.0,,,114.0,复旦大学理科试验班(相辉学堂相辉计划)含数学与应用数学、物理学、化学、生物科学专业,0.0
19470,2024,本科批,物理类,"物理,化学",2.0,687.0,,,114.0,上海交通大学电子信息类(IEEE试点班)含计算机科学与技术、信息工程、信息安全、自动化专业含“电子信息类(IEEE试点班)-数学与应用数学”双学士学位,0.0
715,2024,本科批,历史类,历史,3.0,652.0,,,118.0,北京大学医学部英语(5年)培养医学英语人才学费:6000元/学年；住宿费:待定；外语语种:英语；办学地点:校本部,4.0
2563,2024,本科批,物理类,"物理,化学",2.0,685.0,,,138.0,复旦大学数学类(拔尖学生培养基地)含数学与应用数学、信息与计算科学专业含加州大学伯克利分校、加州大学洛杉矶分校、加州大学圣地亚哥分校、牛津大学、东京大学、京都大学、新加坡国立大学、香港大学等校交流项目,20.0
2579,2024,提前批本科非军检院校,历史类,"历史,政治",3.0,649.0,,,149.0,复旦大学马克思主义理论(望道班)含牛津大学、伦敦政治经济学院、加州大学、维也纳大学、新加坡国立大学等交流项目学制:4年；学费:6500元/学年；住宿费:待定；办学地点:校本部,11.0
708,2024,本科批,物理类,"物理,化学",4.0,684.0,,,153.0,北京大学医学部临床医学(5年),4.0
24962,2024,本科批,历史类,历史,3.0,648.0,,,162.0,浙江大学社会科学试验班(智能财务荣誉项目班)(学费:6000元/学年)含会计学专业,9.0
19488,2024,本科批,物理类,"物理,化学",3.0,683.0,,,168.0,上海交通大学医学院临床医学(本博连读)(8年)卓越医学创新人才计划；含美国等国家临床实践交流项目学费:7400元/学年；住宿费:待定；特征要求:不招色盲色弱；办学地点:医学院,6.0
17203,2024,本科批,历史类,历史,3.0,647.0,,,176.0,南京大学汉语言文学,8.0
24963,2024,本科批,历史类,历史,2.0,646.0,,,186.0,浙江大学社会科学试验班(数字法治卓越班本研衔接培养项目)含法学专业,10.0
17204,2024,本科批,历史类,历史,6.0,645.0,,,203.0,南京大学经济管理试验班(数智经济与管理)含经济学、经济学(产业经济学)、财政学、金融学、保险学、国际经济与贸易专业含拔尖学生培养基地,17.0
19473,2024,本科批,物理类,"物理,化学",2.0,681.0,,,210.0,上海交通大学机械类(钱学森工程科学试点班)含机械工程、能源与动力工程专业含“机械动力类-数学与应用数学”“能源与动力工程-化学”双学士学位,7.0
17185,2024,本科批,物理类,"物理,化学",1.0,681.0,,,210.0,南京大学临床医学(5年)(学费:7480元/学年)“5+3”一体化；择优推荐直博,0.0
2566,2024,本科批,物理类,"物理,化学",8.0,681.0,,,210.0,复旦大学工科试验班(新工科大数据班)含数据科学与大数据技术专业含普林斯顿大学、芝加哥大学、加州大学伯克利分校、墨尔本大学、新加坡国立大学、香港大学等校交流项目,0.0
2567,2024,本科批,物理类,"物理,化学",3.0,681.0,,,210.0,复旦大学计算机科学与技术(拔尖人才试验班)含澳大利亚国立大学“2+2”双学位项目，美国芝加哥大学等校暑期交流项目,0.0
2565,2024,本科批,物理类,"物理,化学",7.0,681.0,,,210.0,复旦大学工科试验班(新工科微电子班)含微电子科学与工程专业,0.0
2564,2024,本科批,物理类,"物理,化学",7.0,681.0,,,210.0,复旦大学工科试验班(新工科计算机班)含计算机科学与技术、信息安全、保密技术(国家保密学院)专业含澳大利亚国立大学“2+2”双学位项目，美国芝加哥大学等暑期交流项目,0.0
24952,2024,本科批,物理类,"物理,化学",3.0,681.0,,,210.0,浙江大学工科试验班(竺可桢学院图灵班)(学费:6900元/学年)含计算机科学与技术专业,0.0
24964,2024,本科批,历史类,历史,2.0,644.0,,,223.0,浙江大学社会科学试验班(数字公共治理荣誉项目班)含行政管理专业,13.0
946,2024,本科批,历史类,历史,3.0,644.0,-,648,223.0,北京师范大学汉语言文学,0.0
17207,2024,本科批,历史类,历史,2.0,644.0,,,223.0,南京大学英语,0.0
17206,2024,本科批,历史类,历史,9.0,644.0,,,223.0,南京大学社会科学试验班含法学、社会学类、公共管理类、图书馆学、档案学、编辑出版学专业具体专业分流情况请查看学校网站,0.0
17205,2024,本科批,历史类,历史,4.0,644.0,,,223.0,南京大学人文科学试验班含哲学、汉语国际教育、新闻学、广播电视学、广告学、历史学、考古学、考古学(文物鉴定)专业含拔尖学生培养基地,0.0
22061,2024,本科批,历史类,历史,9.0,643.0,,,240.0,武汉大学法学(学费:5850元/学年)含法学(含德语法学、法语法学试验班)、国际法(含国际法试验班),17.0
24965,2024,本科批,历史类,历史,2.0,642.0,,,244.0,浙江大学外国语言文学类(含涉外法治双学士学位项目)含英语、翻译专业含“英语-法学”双学士学位项目,4.0
18341,2024,提前批本科非军检院校,物理类,"物理,化学",4.0,680.0,,,245.0,清华大学核工程与核技术(定向中核)(定向)学制:4年；学费:5000元/学年；住宿费:待定；办学地点:校本部,1.0
19474,2024,本科批,物理类,"物理,化学",5.0,680.0,,,245.0,上海交通大学理科试验班类含数学与应用数学、统计学、物理学、应用物理学、天文学专业含致远、吴文俊、李政道班；含“数学与应用数学-人工智能”“物理学-电子科学与技术”双学士学位项目,0.0
709,2024,本科批,物理类,"物理,化学",2.0,680.0,,,245.0,北京大学医学部口腔医学(5年),0.0
947,2024,本科批,历史类,历史,2.0,641.0,-,643,256.0,北京师范大学历史学类含历史学、考古学专业,11.0
25800,2024,提前批本科非军检院校,历史类,历史,5.0,641.0,,,256.0,中国人民大学外国语言文学类含日语、俄语、德语、法语、西班牙语专业含国际新闻全英文实验班、涉外法治双主学位项目学制:4年；学费:6000元/学年；住宿费:待定；外语语种:英语；办学地点:校本部,0.0
710,2024,本科批,物理类,"物理,化学",2.0,679.0,-,-,272.0,北京大学医学部基础医学(本博连读)(8年),16.0
2568,2024,本科批,物理类,"物理,化学",6.0,679.0,,,272.0,复旦大学工科试验班(新工科拔尖班)含智能科学与技术、微电子科学与工程、人工智能专业含加拿大多伦多大学联合培养本硕项目、瑞典皇家理工学院、布鲁塞尔自由大学联合培养项目；含澳大利亚国立大学“2+2”双学位项目，美国芝加哥大学等暑期交流项目,0.0
24968,2024,本科批,历史类,历史,12.0,640.0,,,280.0,浙江大学社会科学试验班(含数字金融双学士学位项目)含经济学、财政学、金融学、国际经济与贸易、教育学、会计学、工商管理、社会学、农林经济管理、行政管理、劳动与社会保障、土地资源管理、法学专业含“金融学-数学与应用数学”双学士学位项目,8.0
24967,2024,本科批,历史类,历史,5.0,640.0,,,280.0,浙江大学新闻传播学类含新闻学、传播学专业,0.0
24966,2024,本科批,历史类,历史,12.0,640.0,,,280.0,浙江大学人文科学试验班含古典文献学、汉语言文学、哲学、历史学、文物与博物馆学、考古学专业,0.0
2569,2024,本科批,物理类,物理,2.0,678.0,,,295.0,复旦大学金融学(FinTech全英文课程班)全英语授课,15.0
948,2024,本科批,历史类,历史,2.0,639.0,,,302.0,北京师范大学法学(卓越实验班),7.0
25878,2024,提前批本科军检院校,历史类,"历史,政治",2.0,639.0,,,302.0,中国人民公安大学涉外警务学制:4年；学费:4200元/学年；住宿费:待定；成绩要求:外语≥105分；特征要求:只招女生；政审、体检、面试合格；办学地点:团河校区,0.0
26116,2024,本科批,历史类,历史,7.0,639.0,,,302.0,中国政法大学法学(法学人才培养模式改革实验班),0.0
949,2024,本科批,历史类,历史,2.0,639.0,-,639,302.0,北京师范大学教育学类含教育学、学前教育、特殊教育、教育技术学专业,0.0
22062,2024,本科批,历史类,历史,6.0,639.0,,,302.0,武汉大学文科试验班类(弘毅学堂)含汉语言文学、历史学、哲学、法学、新闻学、心理学、国际经济与贸易、金融学、经济学专业弘毅学堂新生可根据个人兴趣自由选择9个试验班直接进入，部分学生一年后全校专业任选(医学长学制除外),0.0
22063,2024,本科批,历史类,历史,6.0,638.0,,,331.0,武汉大学经济学类(学费:5850元/学年)含经济学(基地班)、国际经济与贸易、金融学(含国际金融试验班)、保险学(含精算试验班)、财政学、金融工程专业,29.0
26118,2024,本科批,历史类,历史,2.0,638.0,,,331.0,中国政法大学法学(纪检、监察实验班),0.0
26117,2024,本科批,历史类,历史,3.0,638.0,,,331.0,中国政法大学法学(涉外法治人才培养实验班),0.0
950,2024,本科批,历史类,历史,2.0,638.0,-,641,331.0,北京师范大学社会学(学费:5000元/学年)“社会学-心理学”双学士学位,0.0
24953,2024,本科批,物理类,"物理,化学",3.0,677.0,,,339.0,浙江大学机器人工程(荣誉项目班)(学费:6900元/学年),8.0
2570,2024,本科批,物理类,"物理,化学",1.0,677.0,,,339.0,复旦大学经济管理试验班(学费:6500元/学年)含财务管理、工商管理、管理科学、信息管理与信息系统、会计学、市场营销、统计学专业,0.0
951,2024,本科批,历史类,历史,2.0,637.0,,,360.0,北京师范大学公共管理类不招单色识别不全者含公共事业管理、人力资源管理、信息管理与信息系统(大数据治理)专业,21.0
22064,2024,本科批,历史类,历史,6.0,637.0,,,360.0,武汉大学中国语言文学类含汉语言文学、汉语国际教育专业,0.0
24969,2024,提前批本科非军检院校,历史类,历史,2.0,637.0,,,360.0,浙江大学外国语言文学类(小语种)含德语、法语、西班牙语、日语、俄语专业学制:4年；学费:5300元/学年；住宿费:待定；办学地点:校本部,0.0
2571,2024,本科批,物理类,物理,2.0,676.0,,,377.0,复旦大学经济学类(拔尖班)含经济学(数理经济拔尖项目)、经济学(国际项目UIPE)、国际经济与贸易(大数据、国际贸易双学位项目)、金融学专业含“国际经济与贸易-数据科学与大数据技术”双学士学位项目,17.0
19476,2024,本科批,物理类,"物理,化学",52.0,676.0,,,377.0,上海交通大学工科试验班类(信息类)含电子信息类、生物医学工程专业,0.0
19475,2024,本科批,物理类,"物理,化学",3.0,676.0,,,377.0,上海交通大学经济管理试验班(学费:6500元/学年)含经济学、金融学、会计学、工商管理、人力资源管理、大数据管理与应用(大数据和商务管理)专业含“经济学-数学与应用数学”双学士学位,0.0
26366,2024,本科批,历史类,历史,28.0,636.0,,,385.0,中山大学法学,8.0
26365,2024,本科批,历史类,历史,20.0,636.0,639,646,385.0,中山大学汉语言文学(广州),0.0
17208,2024,提前批本科非军检院校,历史类,"历史,政治",3.0,636.0,,,385.0,南京大学马克思主义理论学制:4年；学费:5720元/学年；住宿费:待定；办学地点:第一学年鼓楼校区，第二至四学年仙林校区,0.0
22065,2024,本科批,历史类,历史,4.0,636.0,,,385.0,武汉大学历史学类含历史学、世界史、考古学专业,0.0
952,2024,本科批,历史类,历史,3.0,636.0,-,638,385.0,北京师范大学哲学,0.0
25880,2024,提前批本科军检院校,历史类,"历史,政治",2.0,636.0,,,385.0,中国人民公安大学公安管理学,0.0
25879,2024,提前批本科军检院校,历史类,"历史,政治",1.0,636.0,,,385.0,中国人民公安大学治安学(警察法学),0.0
18598,2024,本科批,历史类,历史,2.0,635.0,,,409.0,厦门大学会计学(含会计学、财务管理、审计学),24.0
22066,2024,本科批,历史类,历史,8.0,635.0,,,409.0,武汉大学新闻传播学类(学费:5850元/学年)含新闻学、广播电视学、广告学、传播学专业,0.0
25804,2024,本科批,物理类,物理,2.0,675.0,,,428.0,中国人民大学法学含“法学-新闻学”“工商管理-法学”“涉外法治”双主学位项目，“法学-劳动关系”实验班；含美国哈佛大学、新加坡国立大学等免学费交换项目，“亚洲校园+”项目(中日韩三国政府奖学金支持)、中欧欧洲法国际组织后备人才培养项目(国家留基委资助)等.,19.0
711,2024,本科批,物理类,"物理,化学",5.0,675.0,-,-,428.0,北京大学医学部药学(本硕连读)(6年),0.0
19477,2024,本科批,物理类,"物理,化学",2.0,675.0,,,428.0,上海交通大学材料科学与工程(徐祖耀荣誉班)含“材料科学与工程-应用物理学”双学士学位,0.0
24954,2024,本科批,物理类,"物理,化学",3.0,675.0,,,428.0,浙江大学工科试验班(智慧城市与建筑工程)(5年)含建筑学、城乡规划、土木、水利与交通工程专业其中土木、水利与交通工程专业学制4年,0.0
19478,2024,本科批,物理类,"物理,化学",20.0,675.0,,,428.0,上海交通大学工科试验班类(机电类)含机械类、航空航天工程、智慧能源工程、可持续能源专业含双学士学位项目,0.0
26367,2024,本科批,历史类,历史,10.0,634.0,,,442.0,中山大学经济学类(广州)含经济学、金融学专业办学地点:广州校区南校园,14.0
26173,2024,本科批,历史类,历史,1.0,634.0,-,634,442.0,中南财经政法大学法学拔尖人才实验班,0.0
22067,2024,本科批,历史类,历史,6.0,633.0,,,478.0,武汉大学外国语言文学类含英语、法语、德语、日语、西班牙语、俄语、翻译专业含涉外法律人才试验班、国际传播人才试验班、多语种精英人才试验班、网络空间安全人才试验班,36.0
24957,2024,本科批,物理类,"物理,化学",4.0,674.0,,,480.0,浙江大学工科试验班(材料、化工与高分子)含材料科学与工程、化学工程与工艺、生物工程、高分子材料与工程专业,2.0
19482,2024,本科批,物理类,"物理,化学",3.0,674.0,,,480.0,上海交通大学工科试验班类(材料学院)含材料科学与工程专业含双学士学位项目,0.0
24958,2024,本科批,物理类,"物理,化学",23.0,674.0,,,480.0,浙江大学工科试验班(信息)含计算机科学与技术、信息安全、软件工程、工业设计、光电信息科学与工程、电子科学与技术、微电子科学与工程、信息工程、自动化、生物医学工程专业,0.0
2572,2024,本科批,物理类,"物理,化学",15.0,674.0,,,480.0,复旦大学技术科学试验班(交叉科学类)含材料物理、材料化学、电子科学与技术、环境科学、高分子材料与工程、心理学、理论与应用力学、飞行器设计与工程、大气科学专业,0.0
24955,2024,本科批,物理类,"物理,化学",7.0,674.0,,,480.0,浙江大学理科试验班类(含商务大数据分析双学士学位项目)(学费:5300元/学年)含数学与应用数学、信息与计算科学、统计学、物理学、心理学、信息管理与信息系统专业含“信息管理与信息系统-统计学”双学士学位项目,0.0
