,年份,批次,科类,选科要求,招生人数,最低分,平均分,最高分,最低位次,院校专业与特殊信息,前一所学校最低位次
18342,2024,提前批本科非军检院校,历史类,"历史,政治",1.0,665.0,,,20.0,清华大学马克思主义理论学制:4年；学费:5000元/学年；住宿费:待定；办学地点:校本部,
18338,2024,本科批,历史类,历史,1.0,665.0,,,20.0,清华大学法学类含法学、法学(国际班)专业,0.0
18340,2024,本科批,历史类,历史,1.0,665.0,,,20.0,清华大学文科试验班类(外文实验班)含英语专业,0.0
18339,2024,本科批,历史类,历史,1.0,665.0,,,20.0,清华大学文科试验班类(至善书院)含经济学、社会学专业,0.0
18337,2024,本科批,历史类,历史,1.0,665.0,,,20.0,清华大学文科试验班类(经济、金融与管理)含经济与金融(国际班)专业,0.0
693,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学英语外语语种:英语,15.0
692,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学文科试验班类(国关)含社会学类专业,0.0
690,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学公共管理类含城市管理、行政管理专业,0.0
689,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学工商管理类含金融学、金融学(金融经济学)、会计学、市场营销专业,0.0
688,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学经济学类含经济学、金融学、国际经济与贸易、财政学、保险学专业,0.0
691,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学人文科学试验班含艺术史论专业,0.0
686,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学社会学类含社会学、社会工作专业,0.0
687,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学新闻传播学类含新闻学、广播电视学、广告学专业,0.0
679,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学法学,0.0
680,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学城乡规划,0.0
681,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学图书馆学(信息管理系),0.0
678,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学考古学,0.0
683,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学中国语言文学类含汉语言文学、汉语言、古典文献学、应用语言学专业,0.0
684,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学历史学类含历史学(中国史)、世界史、外国语言与外国历史专业,0.0
685,2024,本科批,历史类,历史,2.0,662.0,,,35.0,北京大学哲学类含哲学、哲学(科技哲学与逻辑学)、宗教学专业,0.0
682,2024,本科批,历史类,历史,1.0,662.0,,,35.0,北京大学文科试验班类(元培)(学费:5300元/学年)含中国语言文学类、考古学、历史学类、哲学类、社会学类、法学、新闻传播学类、经济学类、工商管理类、公共管理类专业,0.0
2574,2024,本科批,历史类,历史,2.0,662.0,,,35.0,复旦大学法学(涉外法治拔尖人才班)含“法学-经济”双学士学位项目、“卓越法律人才计划”本科项目；含美国哥伦比亚大学、康奈尔大学，加拿大麦吉尔大学，荷兰阿姆斯特丹大学，比利时鲁汶大学等校交流项目,0.0
660,2024,本科批,物理类,"物理,化学",1.0,694.0,,,41.0,北京大学数学类含数学与应用数学(数学)、数学与应用数学(概率统计)、数学与应用数学(科学与工程计算)、数学与应用数学(信息科学)、数学与应用数学(金融)专业,6.0
18319,2024,本科批,物理类,"物理,化学",2.0,694.0,,,41.0,清华大学计算机类含计算机科学与技术、计算机科学与技术(计算机科学实验班)专业,0.0
662,2024,本科批,物理类,"物理,化学",1.0,693.0,,,47.0,北京大学理科试验班类(元培)(学费:5300元/学年)含数学类专业,6.0
661,2024,本科批,物理类,"物理,化学",2.0,693.0,,,47.0,北京大学地球物理学类含地球物理学、地理信息科学学(遥感与地理信息系统)、空间科学与技术专业,0.0
18320,2024,本科批,物理类,物理,3.0,693.0,,,47.0,清华大学理科试验班类(经济、金融与管理)含信息管理与信息系统、金融学(经济金融国际班)专业,0.0
18321,2024,本科批,物理类,物理,1.0,693.0,,,47.0,清华大学理科试验班类(新雅书院)含工程管理等全校各专业,0.0
18322,2024,本科批,物理类,"物理,化学",2.0,693.0,,,47.0,清华大学临床医学类(卓越医师科学家)(8年)含临床医学(卓越医师科学家)专业,0.0
19487,2024,本科批,历史类,历史,1.0,659.0,,,53.0,上海交通大学法学试验班(涉外法治特班)含法学专业,6.0
25825,2024,本科批,历史类,历史,5.0,659.0,,,53.0,中国人民大学法学含“法学-新闻学”“工商管理-法学”“涉外法治”双主学位项目；含“法学-劳动关系”实验班；含美国哈佛大学、新加坡国立大学等免学费交换项目，“亚洲校园+”项目(中日韩三国政府奖学金支持)、中欧欧洲法国际组织后备人才培养项目(国家留基委资助)等学制:4年；学费:5000元/学年；住宿费:待定；办学地点:北京市,0.0
19486,2024,本科批,历史类,历史,1.0,659.0,,,53.0,上海交通大学法学试验班含法学专业含“法学-经济学”双学士学位,0.0
18325,2024,本科批,物理类,物理,1.0,692.0,,,56.0,清华大学社会科学试验班(至善书院)含经济学、社会学专业,3.0
18326,2024,本科批,物理类,"物理,化学",3.0,692.0,,,56.0,清华大学临床医学类(协和)(8年)含临床医学(协和)专业,0.0
18324,2024,本科批,物理类,物理,1.0,692.0,,,56.0,清华大学法学类含法学、法学(国际班)专业,0.0
663,2024,本科批,物理类,"物理,化学",1.0,692.0,,,56.0,北京大学理科试验班类(经济)含数学类专业,0.0
665,2024,本科批,物理类,"物理,化学",1.0,692.0,,,56.0,北京大学理科试验班类(法学院)含数学类专业,0.0
664,2024,本科批,物理类,"物理,化学",1.0,692.0,,,56.0,北京大学理科试验班类(光华)含数学类专业,0.0
18323,2024,本科批,物理类,物理,4.0,692.0,,,56.0,清华大学建筑类(5年)含建筑学、城乡规划、风景园林专业,0.0
